,Top10 Expansion RF Feature Importances(min)
매출액순이익률,0.16530868277902055
RETA,0.12914244893271565
TLTA,0.08820383071718114
vol매출액영업이익률,0.08099472542521254
총자본영업이익률,0.08057422156197742
자기자본순이익률,0.07496616851063845
매출액영업이익률,0.07166838911192952
이자보상배율,0.048748847852489646
매출액증가율,0.04780796447138357
차입금의존도,0.0454421407706504
