,MDD
017370,-0.7389558232931727
018500,-0.9095348239527113
019180,-0.664969450101833
019490,-0.7906779661016949
021050,-0.615819209039548
021820,-0.6607142857142857
023150,-0.4785276073619632
023350,-0.7484126984126984
023810,-0.5461928934010152
023960,-0.7394766780432309
024070,-0.5842026825633383
025530,-0.6419642857142858
025560,-0.875648105214349
025620,-0.957793008234308
025890,-0.5922330097087378
026940,-0.5693950177935944
027970,-0.6050955414012739
030720,-0.6157894736842106
030790,-0.9914082325099556
033250,-0.7748927523142921
041650,-0.75
044380,-0.7454614220877458
049800,-0.8716129032258064
051630,-0.7513368983957219
058860,-0.6666666666666666
069640,-0.8605072463768116
069730,-0.871551724137931
071950,-0.7535836177474403
072130,-0.7260383386581469
084670,-0.49363057324840764
084870,-0.9151282051282051
085310,-0.8017883755588674
088790,-0.6886792452830188
090080,-0.7756676557863501
090370,-0.9134328358208955
093240,-0.8917351377477042
100220,-0.7329411764705882
109070,-0.9711080586080586
118000,-0.9066561982029138
119650,-0.7226333811996023
123700,-0.7450682852807283
133820,-0.7760358342665173
145210,-0.9419719021842156
140910,-0.5917294550551954
145270,-0.7415818324197337
204210,-0.4589989350372737
155900,-0.37916666666666665
000040,-0.931244153414406
000590,-0.65
000650,-0.6407894736842106
000760,-0.5434782608695652
000850,-0.6192368839427663
000950,-0.6889952153110048
001140,-0.9028225806451613
001210,-0.8661311914323963
001380,-0.9271428571428572
001420,-0.7128654970760234
001560,-0.4618226600985222
001620,-0.8719041278295606
001770,-0.45265588914549654
002070,-0.8361753100338218
002420,-0.6391066956771625
002690,-0.8141898759910551
002820,-0.8246636771300448
002870,-0.6118279569892473
002920,-0.6168623265741728
003010,-0.7208955223880597
003080,-0.6095505617977528
003680,-0.7178947368421053
004100,-0.7526501766784452
004450,-0.41742286751361163
004870,-0.9072889027626034
004920,-0.7604529616724739
005030,-0.9378324468085106
005110,-0.8613065326633166
005360,-0.7895061728395062
005820,-0.5439787042591482
006090,-0.713719512195122
006200,-0.3489278752436647
006570,-0.6097560975609756
006980,-0.7662141779788839
007120,-0.734313725490196
007610,-0.8237934904601572
008110,-0.41526104417670684
008500,-0.7127516778523489
008600,-0.8354005167958657
008870,-0.6752941176470588
009140,-0.6692650334075724
009310,-0.6965299684542586
009770,-0.6356275303643725
010100,-0.6649916247906198
010420,-0.6818980667838312
010640,-0.45289079229122053
010660,-0.7516949152542373
010770,-0.8121606948968513
011230,-0.8440420560747663
011300,-0.6085693536673928
011330,-0.6196911196911197
011420,-0.7924581005586592
012170,-0.9648655197480009
012280,-0.5634517766497462
012320,-0.7752921202436832
012600,-0.832936507936508
013000,-0.8446658851113716
013520,-0.5406896551724137
