티커,VS,GS,GS_Rank,VS_Rank,Rank,시가총액,cap_ratio,cum_cap,group
003030,1.1061369600373103,2.591303187750869,1.0,84.0,0.011904761904761904,635744349500,0.00037852454667479016,0.00037852454667479016,growth
002220,0.4785546197029776,2.2399744835165123,3.0,176.0,0.017045454545454544,131885452400,7.852508814584377e-05,0.00045704963482063395,growth
009160,0.2873719926377706,2.2085424569237864,5.0,202.0,0.024752475247524754,524744718320,0.00031243495404762296,0.0007694845888682569,growth
005950,0.0903434143748712,1.8216964318956252,8.0,243.0,0.03292181069958848,441760795200,0.0002630260180421388,0.0010325106069103956,growth
011070,-0.6663112328497772,1.665861383291245,15.0,447.0,0.03355704697986577,8330821664000,0.004960202157163051,0.005992712764073447,growth
004890,-0.1715241446326968,1.7704982383416317,11.0,307.0,0.035830618892508145,402585690000,0.00023970101492031836,0.006232413778993765,growth
024090,0.1542221569268017,1.805977740565373,9.0,230.0,0.0391304347826087,305520000000,0.00018190774261861038,0.006414321521612375,growth
006200,0.9908161910869866,2.230166255622114,4.0,100.0,0.04,83777613440,4.9881502169563215e-05,0.006464203023781939,growth
002710,-0.5881706431181097,1.6107407097144948,17.0,419.0,0.0405727923627685,278475000000,0.0001658050491807984,0.006630008072962737,growth
004000,0.5620291726371219,1.8783457666530294,7.0,162.0,0.043209876543209874,2138820000000,0.001273461370998744,0.007903469443961482,growth
005010,1.5057184708197235,2.253086756798645,2.0,43.0,0.046511627906976744,180657025750,0.00010756386404286026,0.008011033308004342,growth
014830,-0.042741614346353596,1.6941967295471834,13.0,275.0,0.04727272727272727,1093450689000,0.0006510446010105858,0.008662077909014926,growth
007810,-0.7559860924286532,1.5317086936170359,24.0,469.0,0.0511727078891258,660199990450,0.00039308552611805325,0.00905516343513298,growth
071090,-0.27039006662314713,1.604683762592746,18.0,338.0,0.05325443786982249,117996696000,7.025567100620062e-05,0.00912541910613918,growth
138040,0.04877061819437878,1.6937871918849665,14.0,250.0,0.056,4154326019800,0.0024735011402316526,0.011598920246370832,growth
306200,0.266811792200111,1.7255573006963458,12.0,210.0,0.05714285714285714,506279550000,0.00030144072425525623,0.011900360970626089,growth
018470,-0.7926747782116033,1.4822989684701493,28.0,488.0,0.05737704918032787,312453143895,0.00018603576224151378,0.012086396732867603,growth
079550,-0.8324118877693344,1.474193232499517,29.0,504.0,0.057539682539682536,1630200000000,0.0009706271341216897,0.013057023866989292,growth
000060,-0.3818243413885444,1.5612493113652786,22.0,369.0,0.05962059620596206,4794843750000,0.002854867775502267,0.015911891642491557,growth
006880,-0.6440140279929341,1.4711847950673842,30.0,434.0,0.06912442396313365,125977337700,7.500737471232444e-05,0.015986899017203883,growth
195870,-0.9903946925282892,1.355480261863649,39.0,550.0,0.07090909090909091,1205300000000,0.000717640096158062,0.016704539113361946,growth
034020,-0.8381021338549167,1.3817005879533526,37.0,506.0,0.07312252964426877,12546631919450,0.007470311239636529,0.024174850352998475,growth
005390,-0.7599397156053247,1.4134022098623436,35.0,472.0,0.07415254237288135,441903299250,0.0002631108654827303,0.024437961218481206,growth
002460,-0.03282171671770255,1.5745679926877085,21.0,273.0,0.07692307692307693,286990940000,0.00017087547148269525,0.0246088366899639,growth
049800,0.28289750462794583,1.6267862008323208,16.0,204.0,0.0784313725490196,93700000000,5.5789327976446034e-05,0.024664626017940346,growth
010690,-0.4773535624201296,1.4461245067266084,31.0,390.0,0.07948717948717948,320918567900,0.00019107610713238492,0.02485570212507273,growth
003280,-1.086989662316167,1.3309344349575252,46.0,571.0,0.08056042031523643,710455576545,0.0004230078887146645,0.025278710013787394,growth
036460,1.2179270140464613,2.181842015907846,6.0,68.0,0.08823529411764706,4029462450000,0.002399156907063221,0.027677866920850613,growth
002900,-0.8429586606974092,1.3320879263351784,45.0,508.0,0.08858267716535433,508861514980,0.00030297803579306754,0.027980844956643682,growth
138490,-0.9858485059280802,1.2744444122160283,52.0,548.0,0.0948905109489051,530100000000,0.00031562350864796203,0.028296468465291644,growth
006110,-0.9283730189637849,1.2552717540597644,54.0,534.0,0.10112359550561797,260700000000,0.00015522174816925808,0.028451690213460903,growth
000680,1.005352026825222,1.7823062271653454,10.0,96.0,0.10416666666666667,273840480600,0.00016304563911868737,0.028614735852579593,growth
010820,-1.1909874762873311,1.2037373093153785,66.0,583.0,0.11320754716981132,202098439300,0.00012033016129813843,0.028735066013877732,growth
001440,-1.209221556630325,1.1814421001645923,69.0,587.0,0.11754684838160136,2625838048990,0.0015634337260206433,0.030298499739898375,growth
004250,-0.6862382426553715,1.2555646664039837,53.0,450.0,0.11777777777777777,372708000000,0.0002219117273366622,0.030520411467235036,growth
001250,-0.5263983367712184,1.305470794379918,48.0,404.0,0.1188118811881188,339626438860,0.00020221484297793955,0.030722626310212976,growth
001120,0.5872316219823569,1.601536437232118,19.0,159.0,0.11949685534591195,1482570000000,0.0008827276838638164,0.031605353994076796,growth
034120,-0.24489525784387461,1.3444587204517853,41.0,331.0,0.12386706948640483,925405907400,0.0005509901139730977,0.03215634410804989,growth
005070,-1.22935646618738,1.1568141312136946,74.0,594.0,0.12457912457912458,1561509539100,0.0009297285786040447,0.033086072686653936,growth
013360,-1.0221700367731916,1.1677834166666283,71.0,560.0,0.12678571428571428,218530639600,0.000130113954381504,0.03321618664103544,growth
011700,-1.2164452003155635,1.1330279615939804,76.0,589.0,0.12903225806451613,342306893050,0.00020381079535714713,0.03341999743639259,growth
093370,-1.22935646618738,1.12553757332656,77.0,594.0,0.12962962962962962,2217933315050,0.0013205657325849592,0.03474056316897755,growth
