회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)머큐리,100590,2004,303.61,52.84,-39.43,-18.37,-22.05,15.52,-11.08,46.37,-7.86,0.0,209.52,371.14,4.8,3.19,0.71,5.42,123.20999999999998,0.4828258503344969,-1.8737627210316337,0.7877472984805735,-1.2606809959488592,236.06,-7.699999999999998,15.749999999999995,38.03,-2.039999999999999,-9.32,0.0,-6.8100000000000005,162.13,371.14,-1.1066009177871938,-0.049999999999999815,-0.29000000000000004,0.12,1.29,0.0
(주)머큐리,100590,2008,221.41,18.65,-10.45,-7.29,-7.21,12.17,-1.09,-0.96,-1.28,-2.16,142.01,87.98,5.71,7.65,1.17,8.97,70.89000000000001,0.5757402822216887,-0.011629959620513226,0.46802536209271706,-1.2057200050499726,-78.45000000000002,-14.31,-2.43,-5.89,1.3900000000000006,0.11999999999999987,-2.16,0.23,-53.78,-9.420000000000002,-1.0235744469387813,-1.2000000000000002,-0.29000000000000004,-0.08000000000000007,-0.8699999999999992,0.0
(주)머큐리,100590,2009,262.57,20.62,-28.25,-4.75,-9.56,12.54,-2.58,-3.57,-2.36,-6.04,175.85,81.02,4.67,5.95,0.91,8.48,96.41,0.557298555311794,-0.047292309523156495,0.4475649363808535,-2.5803447397190458,41.16,-17.8,2.54,-2.3500000000000005,0.3699999999999992,-1.49,-3.88,-1.0799999999999998,33.84,-6.960000000000008,-1.3746247346690736,-1.04,-1.7000000000000002,-0.2599999999999999,-0.4900000000000002,0.0
(주)머큐리,100590,2012,209.15,24.2,26.19,-1.45,10.85,12.86,1.14,1.71,1.46,4.84,140.03,127.43,6.38,5.28,1.28,15.69,103.03,0.6177414658651755,-0.12900505628230124,0.5603006927455139,1.5160248226190929,-15.03,21.880000000000006,1.2500000000000002,16.31,0.21999999999999886,3.05,11.02,3.43,-5.939999999999998,12.39,3.427645779956704,1.89,-0.3799999999999999,0.24,3.479999999999998,0.0
(주)메디아나,41920,2003,327.66,2.79,-7.64,16.87,4.78,20.25,11.33,6.89,12.9,10.55,237.18,30.55,4.52,6.59,1.14,5.75,72.54999999999998,0.6946530458409738,0.242476447228317,0.2340208516586704,186.7513853367434,47.390000000000036,-7.64,16.87,4.78,3.0100000000000016,8.97,5.460000000000001,9.92,77.52000000000002,-8.349999999999998,175.370784235974,0.5099999999999998,1.3099999999999996,-0.1200000000000001,0.28000000000000025,0.0
(주)메디아나,41920,2004,170.58,11.94,-32.95,-30.47,11.83,23.09,4.47,7.23,3.15,6.86,86.26,38.83,3.85,7.15,0.7,4.94,72.06,0.3547854931969769,0.25218363955106765,0.2797032874823707,7.9899442110338175,-157.08,-25.31,-47.34,7.05,2.84,-6.86,-3.69,-9.75,-150.92000000000004,8.279999999999998,-178.7614411257096,-0.6699999999999995,0.5600000000000005,-0.44,-0.8099999999999996,0.0
(주)메디아나,41920,2008,69.37,40.68,8.16,24.34,2.31,32.17,11.7,-5.48,10.68,-12.4,35.64,142.85,6.87,10.89,0.91,9.91,49.82,0.2828896163547828,0.22093109908768588,0.5882206218148729,3.5655952625969043,-2.4899999999999953,10.7,25.04,13.34,8.64,11.46,-13.49,10.48,-6.719999999999999,-10.480000000000018,3.5088165787467767,-1.3500000000000003,2.870000000000001,0.11,0.7599999999999998,0.0
(주)메디아나,41920,2009,91.17,32.7,22.37,-0.52,13.38,34.77,14.58,11.83,15.09,27.94,38.57,116.53,5.79,14.27,1.03,8.13,43.78,0.3732134416522918,0.31011499420693783,0.5381713239576859,5.250690298658179,21.8,14.21,-24.86,11.07,2.6000000000000014,2.8800000000000012,40.34,4.41,2.93,-26.319999999999997,1.6850950360612744,-1.08,3.379999999999999,0.12,-1.7799999999999994,0.0
(주)메디아나,41920,2012,133.82,25.45,6.12,-44.56,-17.55,31.95,6.58,2.54,6.76,5.94,91.6,105.91,6.86,8.66,1.03,7.99,49.71000000000001,0.4769012799714725,0.18413523292869124,0.5143427841200164,2.7090450368496235,42.6,-4.12,-48.14,-34.45,2.349999999999998,-0.11000000000000032,2.120000000000001,0.39999999999999947,32.00999999999999,-43.80000000000001,0.2584230928380173,0.9400000000000004,1.7400000000000002,0.08000000000000007,-0.8200000000000003,0.0
(주)메디콕스,54180,2003,292.64,29.15,-38.67,-5.5,-7.18,2.34,-42.9,-62.72,-31.22,-76.45,291.7,99.74,116.07,2.3,0.73,7.42,112.75,0.6531113216336606,-0.4740699184817707,0.4993610180034694,-25.54436933124919,93.86,-49.32,-47.93,22.44,-8.02,-28.61,-51.03,-17.72,96.26999999999998,54.06,55.91722084706125,104.16,-0.3500000000000001,-0.22,2.64,0.0
(주)메디콕스,54180,2004,833.5,41.02,-49.97,-22.65,-38.38,24.03,-48.52,-52.61,-22.71,-49.53,794.88,103.57,44.83,2.19,0.47,4.53,94.03,0.5167817080197851,-1.0922027671659342,0.5087658506385889,-6.791666666666668,540.86,-11.299999999999995,-17.15,-31.200000000000006,21.69,-5.6200000000000045,26.92,8.509999999999998,503.18,3.8299999999999983,18.752702664582518,-71.24,-0.10999999999999988,-0.26,-2.89,0.0
(주)메디콕스,54180,2008,249.08,0.95,0.0,0.0,0.0,23.06,-92.16,-253.92,-10.64,-31.26,248.15,6.6,219.12,1.63,0.12,8.21,180.96,0.1401947655521643,-1.6182957069630195,0.061920316119901335,-157.17944905990382,165.61,54.23,53.07,40.87,21.37,60.56,164.91,16.49,165.61,-266.75,-147.93193430429466,173.61,0.3499999999999999,-0.06,6.65,0.0
(주)메디콕스,54180,2009,134.9,2.75,-4.76,-87.18,-36.41,21.15,-68.18,-928.72,-9.17,-136.73,134.72,14.34,334.37,1.88,0.13,4.04,105.27,0.1547070174082535,-4.151353789016773,0.125417232801981,-10.154010206413284,-114.18,-4.76,-87.18,-36.41,-1.91,23.97999999999999,-105.46999999999998,1.4700000000000006,-113.43,7.74,147.02543885349053,115.25,0.25,0.010000000000000007,-4.170000000000001,0.0
(주)메디콕스,54180,2012,8.87,55.26,25.07,-2.28,-1.86,19.6,13.27,-24.75,7.43,-52.52,8.08,410.32,98.84,10.8,0.56,14.89,12.95,0.0679341690657145,-0.1404795145337734,0.804044276624261,1.952208448592332,-5.520000000000001,-779.25,-54686.94,-1196.51,-3.7899999999999987,-1.3800000000000008,88.16999999999999,-4.620000000000001,-5.449999999999998,207.49,0.36892580195024893,-29.11999999999999,-1.9399999999999995,-0.2599999999999999,-6.5,0.0
