회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)케이알,35950,2009,33.26,24.48,-26.8,167.81,56.64,17.96,-8.58,-64.06,-6.71,-157.16,28.51,158.63,18.46,5.18,0.78,4.8,14.239999999999995,0.19266269550611248,-0.9355525158761312,0.6133459840823535,-2.0051324020871086,-47.59,-22.18,146.5,99.28,8.23,20.36,10.789999999999992,22.19,-43.33999999999999,-213.29,10.149433979614416,-6.43,1.84,-0.22,1.1599999999999997,1.0
(주)케이엔티,36590,2004,34.07,64.86,128.33,3467.43,165.54,-4.44,-33.86,-131.62,-32.7,0.0,24.27,0.0,9.17,5.25,0.97,4.87,34.41,0.3733683203089516,-1.0896923002400776,1.13349040836785,-7.962850813851823,-24.5,24.810000000000013,3511.84,191.3,-20.65,10.46,127.21,-3.500000000000004,-21.930000000000003,-705.4,3.8132489631486,1.7699999999999996,1.59,0.30999999999999994,-10.18,1.0
(주)케이티씨텔레콤,55810,2004,83.61,62.51,28.94,9.88,13.3,9.78,-3.25,-3.01,-4.17,-14.22,61.83,276.41,7.32,6.91,1.28,28.77,89.97,0.5400672529525302,0.06796946943277662,0.7343328476167013,-1.3277405727683875,-7.480000000000004,-81.98,-73.65,-112.57,-7.040000000000001,-12.25,-39.59,-17.41,6.170000000000003,16.120000000000005,-5.3853434663438895,-1.33,-0.05999999999999961,-0.18999999999999995,-25.1,1.0
(주)코레스,8340,2009,34.57,76.55,-0.8,-0.07,-14.7,-9.78,-15.6,-19.39,-20.74,0.0,26.23,0.0,10.7,10.66,1.33,8.27,24.19,0.2726392568407021,-0.41665732450602294,1.0821175128246134,-4.196107542390918,-32.43,2.9000000000000004,-63.81,-45.49,-11.81,-12.95,79.89,-17.009999999999998,-10.94,-493.43,-3.4621697538716383,2.1099999999999994,2.290000000000001,-0.07999999999999985,-3.2100000000000013,1.0
(주)코스모스피엘씨,53170,2008,46.73,76.44,230.2,-70.42,-8.3,35.32,-80.05,-976.1,-9.04,0.0,46.73,0.0,1.44,2.19,0.11,4.03,329.74,0.4458628023256873,-2.984262046868245,1.0389760294096837,-1.6856245488212895,-708.36,301.86,-36.61,-198.93,44.76,420.53,0.0,15.37,-575.48,-51.23,4.4434652734439855,1.19,-0.48,0.06,4.03,1.0
(주)쿨투,56020,2008,14.37,86.98,-87.56,-14.21,-29.38,-16.03,-1102.59,-3863.97,-18.15,-246.99,14.32,1927.75,0.87,0.36,0.02,0.42,562.5900000000001,0.13652449312685838,-0.7464149117622741,0.9506842710856472,-2.4856784251638397,-12.7,-82.97,-114.59,-302.02,-63.83,-1072.9,-196.94,-12.869999999999996,-7.149999999999999,1780.55,-0.024421493996067856,-2.73,-2.21,-0.16,-2.85,1.0
(주)클리핑,25460,2008,115.69,24.32,-64.14,-21.63,39.91,-32.91,-97.43,56.59,-26.57,0.0,114.24,173.74,21.38,9.53,0.27,23.73,40.01,0.7147850600898726,-0.805811123029953,0.6346910068900075,-4.285062294962695,91.0,-23.76,17.37,79.99,-32.77,-72.68,0.0,-9.66,91.03,173.74,2.3019198315619462,-25.51,-5.550000000000002,-0.41,-25.87,1.0
(주)택산아이엔씨,36900,2004,7.01,158.75,-63.77,-18.93,-77.91,-77.52,-153.0,-242.24,-84.29,0.0,5.43,0.0,2.49,2.61,0.55,10.3,250.95,0.16405172535216644,-3.394007438646103,2.364537484181804,-16.508509535262338,-148.06,-77.47,-48.76,-94.84,-93.97,-159.18,-3.62,-90.48,-90.78,-140.99,-18.634232779061122,-0.7999999999999998,-1.86,-0.45,-17.099999999999998,1.0
(주)테크메이트,43690,2003,132.22,51.9,59.59,11.61,8.7,4.89,-6.25,-26.32,-7.35,-126.83,47.18,391.38,2.98,5.23,1.18,8.79,150.66000000000003,0.6833611485855131,-0.2417370105871513,0.7964910571252449,-2.1305482354447065,-53.22,38.76000000000001,-8.260000000000002,-34.33,-8.969999999999997,-10.22,-118.29,-10.94,-42.61000000000001,144.06,-3.134616326864556,0.2200000000000002,1.6100000000000003,0.2799999999999999,-6.610000000000001,1.0
(주)트래픽아이티에스,38050,2003,321.35,40.92,71.88,-0.84,61.99,27.98,0.8,-14.39,0.66,-24.14,314.03,86.41,15.26,2.27,0.82,30.24,172.78000000000003,0.6922446154747697,-0.04737533382274863,0.4635600942786999,0.16448318427095196,148.57000000000005,-8.939999999999998,-563.9200000000002,-30.21999999999999,-2.259999999999998,-9.76,-33.99,-8.01,169.31999999999996,-57.84,-2.345340249517571,10.35,-0.020000000000000014,0.0,8.049999999999997,1.0
