회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)리노스,39980,2005,157.32,30.12,8.54,129.17,88.76,39.58,3.36,1.79,4.55,5.19,124.8,121.14,6.74,4.8,1.35,8.16,85.46000000000002,0.6412453957566357,0.058270150961221075,0.5477976826160545,3.3710300764533345,-31.45000000000001,-55.03,119.96,68.85,4.579999999999998,1.13,-11.38,0.39999999999999947,22.44,20.209999999999994,1.5869763674481836,0.7999999999999998,-0.7700000000000005,-0.51,-2.83,0.0
(주)리노스,39980,2017,386.68,7.97,-7.17,-19.03,-9.24,42.83,3.95,4.77,3.61,6.11,189.57,30.29,2.14,11.89,0.92,9.54,163.15999999999997,0.8330634758521899,0.4179271226783573,0.2324934286443475,12.510480343172937,148.86,-10.09,-9.89,-13.28,-0.1900000000000049,-0.5099999999999998,1.6500000000000004,-0.6599999999999997,78.38,-20.1,-5.888672141277888,-0.3899999999999997,-1.3499999999999996,-0.039999999999999925,-3.2300000000000004,0.0
(주)리더스코스메틱,16100,2000,117.44,33.98,0.0,0.0,0.0,12.72,2.91,1.65,5.36,6.23,110.91,104.8,69.01,4.63,1.84,16.08,61.46000000000001,0.480166356000398,0.237106222613799,0.5117142375329942,1.0260215301033389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5648039936200121,0.0,0.0,0.0,0.0,0.0
(주)리더스코스메틱,16100,2001,98.28,30.3,-2.1,-14.85,0.47,17.44,6.04,3.33,10.88,11.6,92.92,83.25,75.79,5.23,1.8,17.35,53.59,0.3814982983572404,0.2970832336613048,0.4542941851525554,3.4178458582709794,-19.16,-2.1,-14.85,0.47,4.7200000000000015,3.13,5.369999999999999,5.5200000000000005,-17.989999999999995,-21.55,2.3918243281676403,6.780000000000001,0.6000000000000005,-0.040000000000000036,1.2700000000000031,0.0
(주)리더스코스메틱,16100,2005,794.02,0.0,-7.87,7.69,88.76,18.35,2.68,1.17,1.99,1.0,687.55,11.85,47.83,4.67,0.74,16.23,63.28,0.6578966863468271,0.16956282970050773,0.11421572065984074,15.660905965017193,250.52,-11.32,15.56,59.77000000000001,1.2100000000000009,0.29000000000000004,-0.3899999999999999,-1.2699999999999998,217.87,-26.5,10.638372626392014,1.0300000000000011,-0.15000000000000036,-0.54,-0.8200000000000003,0.0
(주)리더스코스메틱,16100,2011,143.77,15.27,14.23,112.72,88.76,13.71,0.74,20.68,0.63,36.51,126.12,41.65,32.67,6.12,0.86,14.28,45.28,0.2093041303179388,0.2875907053345301,0.2940363274374989,6.458824672170957,-211.32,-23.18,104.2,68.85,0.4800000000000004,-0.3200000000000001,35.22,-0.5299999999999999,-188.01,26.1,-93.8161159685675,-10.119999999999996,-0.7599999999999998,-0.2400000000000001,-1.67,0.0
(주)리더스코스메틱,16100,2013,133.37,23.72,17.57,-1.2,4.88,18.38,0.93,-7.16,0.82,-10.17,116.93,61.84,22.04,7.43,0.88,17.41,44.7,0.3645748939429937,0.18587408479449974,0.38211616279961136,0.7454314591904109,-34.47,-2.0500000000000007,-35.66000000000001,3.64,-0.8800000000000026,-0.5199999999999999,-3.88,-0.30000000000000016,-31.18000000000001,2.160000000000004,-0.3772442598317621,-3.4800000000000004,0.5,0.11,-0.14999999999999858,0.0
(주)리더스코스메틱,16100,2017,159.77,29.54,-35.71,21.66,3.18,42.81,2.91,-8.52,1.26,-6.63,117.08,90.81,3.88,4.6,0.43,17.45,152.44,0.3746294207884218,0.31206924726735324,0.4759226274180969,1.2042662034051743,30.090000000000003,-14.620000000000005,69.14,4.0,2.719999999999999,-11.37,-11.76,-9.66,30.010000000000005,21.35000000000001,-10.475709433876947,-0.96,-0.3700000000000001,-0.33,-14.95,0.0
(주)리더컴,56140,2001,168.23,21.08,0.0,0.0,0.0,10.03,5.7,2.41,13.49,13.46,35.58,135.85,3.13,15.04,2.27,7.14,89.74000000000002,0.8330634758521899,0.17177371011032122,0.5760024703771592,9.526607014899557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.8161159685675,0.0,0.0,0.0,0.0,0.0
(주)리드,197210,2011,115.22,23.99,0.0,0.0,0.0,16.97,3.83,1.18,10.12,13.49,71.46,317.92,8.33,6.99,2.27,7.77,49.11,0.8330634758521899,0.10842179573992118,0.769549460581239,1.5497381498598783,50.56,64.23,-6.58,37.95,11.050000000000004,18.26,35.22,12.060000000000002,19.139999999999993,97.07000000000002,16.592756918274578,3.79,3.62,0.3900000000000001,3.42,0.0
