thresholds,models,Accuracy,Precision,Recall,F1 score,Auc_Score
0.9,XGBClassifier,0.94,0.030303030303030304,0.5,0.05714285714285715,0.9290091930541369
0.8,RandomForestClassifier,0.959,1.0,0.5,0.6666666666666666,0.9213483146067416
