thresholds,models,Accuracy,Precision,Recall,F1 score,Auc_Score
0.8,XGBClassifier,0.985,0.25,0.5,0.3333333333333333,0.8816568047337278
0.8,RandomForestClassifier,0.994,1.0,0.5,0.6666666666666666,0.9970414201183432
