thresholds,models,Accuracy,Precision,Recall,F1 score,Auc_Score
0.9,XGBClassifier,0.703,0.0412573673870334,0.9130434782608695,0.07894736842105263,0.8569074180906182
0.9,RandomForestClassifier,0.679,0.047736625514403296,0.8405797101449275,0.09034267912772585,0.8492006099361085
