thresholds,models,Accuracy,Precision,Recall,F1 score,Auc_Score
0.1,XGBClassifier,0.974,0.0,0.0,0.0,0.34800362976406535
0.1,RandomForestClassifier,0.979,0.0,0.0,0.0,0.3720508166969147
