유동비율,차입금의존도,매출액증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,총자본회전률,RETA,TLTA,이자보상배율,vol유동비율,vol매출액총이익률,vol매출액영업이익률,vol총자본영업이익률,vol당좌비율,vol이자보상배율,매출채권회전률,매입채무회전률,부도
-0.8894191130543411,-0.6773331105355502,-0.618374231711262,0.027990249642767084,0.47739416358405246,0.751564479594579,0.18286655683690284,0.6070384387723988,-0.8782688168872902,-0.9540032127526971,-0.855072463768116,0.5567412963152729,-0.6708145851467593,-0.8015649208744033,0.7381131696540644,0.34635527246992204,0.3472407160822605,0.6794915446600841,0.7375404428425391,-0.2876493847840721,-0.7923559612093554,-0.9832224472085622,0.0
-0.4639100562148658,-0.8969003258417578,-0.08285965155506267,1.0,0.9036854363611452,0.9710715245517717,0.8704008786381109,0.9415257125432729,-0.843332645419971,-0.9628690057144864,0.7777777777777779,0.9475186369425643,-0.7221326973082078,-0.5681316451901648,0.7796126652882188,0.24727530077848545,0.48868175765645794,0.43275451140619686,0.7429468736497097,-0.4489665596238711,0.13633770678836266,-0.8180503326583742,0.0
-0.47677701436602127,-0.8362436293758877,-0.26179583160035125,0.7636378919055224,0.9882175640498696,0.9951817867700693,0.9999999999999999,1.0000000000000002,-0.3796397299448685,-0.9778677036425827,0.6811594202898552,0.9908273911613735,-0.8346831545156006,-0.45818696607823733,0.7637559508323177,0.26595895258315627,0.4965971297529219,0.4745204857564409,0.7575326440924468,-0.11055417293065065,1.0,-0.9835117153601388,0.0
-0.8114178638351031,-0.2550756119976606,-0.30967235084800593,0.4406993359670506,0.8901904370461705,0.955791453910239,0.5758374519494783,0.8705673440835143,-0.8429493794038738,-0.9411346459388523,-0.681159420289855,0.8739623322864395,-0.6101111614556094,-0.7768671059808092,0.7710863720804977,0.3248407643312101,0.5298860778221629,0.5140165701963456,0.766817372242773,-0.2802610254649568,-0.8608100399315459,-0.43505929997107307,0.0
-0.4218113678950657,-1.0,-0.11345256250288835,0.39699083802639323,0.9323194958213452,0.9795177947556339,0.9710049423393738,0.9517856181951895,-0.31737374332969703,-0.9839420885233334,0.5169082125603865,0.905131340279421,-0.8931336332352227,1.0,0.7339595685732152,0.2877565463552723,0.5164965231543126,0.5258199977301101,0.7242825676857736,1.0,1.0,1.0,0.0
-0.890368519675203,-0.30086055643746334,0.11539350247238778,0.2734302765403043,0.894095081518016,0.9664644680769378,0.6915980230642503,0.9114275977112519,-0.9147380524189981,-0.9211207766785755,0.01449275362318847,0.8701087227523802,-0.5383107298398557,-0.7702203152991528,0.7793479302742746,0.05421089879688598,0.44732948661044525,0.38304392236976514,0.7653419330361377,-0.30360520141057384,0.28807758128921823,0.11223604281168642,0.0
-0.38765771392879467,-0.6631297518589689,-0.3435925874578308,0.46272169454484324,0.9430743937525686,0.9838944984067262,0.6498627127951675,0.9041093433301646,-0.3886022583212947,-0.9732095048322961,-0.6521739130434783,0.9332547071853874,-0.7954929396834611,-0.7512306019603803,0.7394368447237856,0.3395612172682234,0.49400798934753654,0.45023266371580983,0.6946367784838808,-0.3098252239500438,-0.4808899030233885,-0.4527046572172403,0.0
-0.554428482198626,-0.330269863814855,-0.2233467350616942,0.596032613263848,0.8652555144540346,0.9641417437708756,0.5694673256452498,0.88972395113989,-0.6379315427931247,-0.9240058168965043,-0.2850241545893719,0.8812056734628128,-0.5473443033401082,-0.774019619650756,0.7144422078900162,0.29596602972399144,0.4826897470039946,0.4343434343434344,0.7064402921369629,-0.2958297323837294,-0.49115801483171717,-0.684408446630026,0.0
-0.4541161773891319,-0.8572980198847021,-0.022043532510744535,0.5879633521055729,0.9680778188792983,0.9866587322916265,0.9999999999999999,1.0000000000000002,-0.3807600459919218,-0.9660290903345301,0.41062801932367154,0.914733715947672,-0.7428136582311663,-0.6612330122366897,0.7806716053439957,0.22123142250530778,0.5292202988607781,0.6563386675746228,0.7759650953239116,-0.18015066521516518,-0.5424985738733601,-0.698582586057275,0.0
-0.6049469081823862,-0.7399949870498788,-0.3599519386293267,0.8221400353030177,0.9736265241813945,0.9864283794678849,0.7897858319604613,0.9225843482628115,-0.5713906659984078,-0.973935153893195,-0.42028985507246375,0.8683702760951186,-0.8013060773605623,-0.5954986249429307,0.7458452578199528,0.367869780608634,0.48934753661784275,0.3846328453070027,0.7462666118646389,-0.18879964055993956,-0.858528237307473,-0.7957766849869828,0.0
0.5509306683322921,-1.0,-0.2651231572623504,0.15340001681096074,0.7398958761474173,0.8871463124352131,0.3511257550796266,0.7939767896539973,0.728058020578437,-0.9913682873804361,-0.5748792270531401,0.7677480639216824,-0.9788896001442846,-0.8813193638146597,1.0,0.2877565463552723,0.5280366918183161,0.5689479060265579,1.0,-0.3704622254914152,-0.8265830005704506,-0.9487995371709574,0.0
-0.18718301061836362,-0.9142785529283983,-0.08258237441656274,0.5308060855677903,0.9386902315385668,0.8463738626329327,0.6127402526084569,0.8022277627307135,-0.07060939296559432,-0.9910288708842092,-0.7584541062801933,0.8071900321087403,-0.9745575521120449,-0.6486240766786238,0.8146398462711161,0.6121726822363764,0.6379641958869654,0.5989104528430372,0.8248126719150147,-0.03334527652212177,-0.7843696520250998,-0.8154469192941856,0.0
