매입채무회전률,유동비율,차입금의존도,매출액증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,총자본회전률,현금순환주기,RETA,TLTA,이자보상배율,vol유동비율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol이자보상배율,vol총자본회전률,부도
-0.6176345909283594,-0.4485313575019848,-1.0,-0.30748117942283565,-0.35241316508390785,0.027770700636942536,0.6123412688703481,0.827464768503358,0.07049215559853872,0.5788962929417094,-0.34951656745690407,-0.7641258026132213,-0.8648648648648647,-0.8433340512599613,0.5826497810110374,-1.0,-0.9737901885553286,0.5888933947186372,-0.19272178531007872,0.17808664553360976,0.47794530608718216,0.35590991841413255,0.38992117117117114,0.6602679438224064,-0.7866846313092763,0.29687499999999983,0.0
-0.552917903066271,-0.38525771074064286,-0.9469107551487415,-0.21855395232120456,-0.2509431507740341,0.7066666666666664,0.930708815541582,0.9783871356922493,0.7208252740167636,0.8947078993336354,-0.27547052953927675,-0.7359103126057321,0.13513513513513553,-0.9324143872496231,0.5826497810110374,-0.8721969772092134,-0.8033096360069117,0.6832613725817607,0.43364578194375913,-0.01845078436153777,0.47647643323108846,0.6756793203425258,0.844876126126126,0.7303734386123877,-0.29009637019976336,1.0,0.0
-0.8790447929913805,-0.6171826761929966,-0.6800406814136791,-0.4364805520702635,0.21009496552621307,0.07346072186836504,0.7072741063345648,0.827464768503358,0.20159037180313794,0.6199456556899787,-0.5494959226507932,-0.6979399118788658,-0.7387387387387386,-0.9324143872496231,0.7370555824999978,-0.7646350374737463,-0.8843462813824268,0.5020156961904532,0.20229838358629088,0.07420954238803548,0.3651877133105804,0.3479873238486953,0.5112612612612611,0.542372661963627,-0.090895954052572,0.015625,0.0
-0.6798078281757807,-0.6671959072064921,-0.5826086956521739,-0.11080614805520708,0.07974502406660595,0.9891295116772822,0.9549313694306476,0.9768359731821237,0.8478401031592523,0.8826745164003366,-0.6967277982314284,-0.6555748592456861,0.09009009009009028,-0.6898987723454663,0.9151898487277259,-0.6943775187685522,-0.7896299170402886,0.48636721452255405,0.22255433994021873,0.14053482890351954,0.36799585259428885,0.34802103701705883,0.4563626126126126,0.5105300627791082,-0.34066471067021076,0.546875,0.0
-0.8411756393952239,-0.13289818000058828,-0.6764810577167557,-0.12500000000000008,0.012228437621959146,0.2890021231422504,0.8939101074111228,0.9804898226504197,0.4977433913604128,0.8955489422268229,-0.2273681313009669,-0.6990423764574392,-0.2882882882882881,-0.27266853327589924,0.8009251061048447,-0.7669882229699366,-0.845749082142086,0.4681424584337203,-0.19272178531007872,0.20149557018613354,0.4608372575279736,0.4949767379138291,0.844876126126126,0.46419002006342636,-0.310848826424089,0.140625,0.0
-0.9335876783948001,0.6345594072505953,-0.9296211543351132,-0.322223964868256,0.02887992714973331,0.027770700636942536,1.0,1.0,1.0,1.0,0.9179713037195061,-0.7484632023934886,-0.19819819819819806,-0.7316390264914926,1.0000000000000002,-0.9255558554395742,-0.0944515403786208,0.46160635481023804,0.23921181694187288,0.05827846866617903,0.37132241759191276,0.47141123322769873,0.39695945945945943,0.489819429163161,-0.6298613234630206,0.21875,0.0
-0.7883283877349159,-0.6991855576137134,-0.7008899059242308,-0.28826850690087835,-0.10225055288148824,0.07464968152866228,0.6745858921974015,0.827464768503358,0.3281753707285624,0.7521834767419293,-0.665829405085504,-0.7309834364201074,-0.8648648648648647,-0.7060951970708594,0.7906276683795048,-0.8543359435858536,-0.8636361753609554,-0.0893108465924003,0.08662468440755675,0.03844590750223527,0.41750550827321053,0.46915245094734004,0.44003378378378377,-0.038146398291372674,-0.3804547987267313,0.21875,0.0
-0.864349300551081,-0.7219429008262035,-0.7777777777777778,-0.14531053952321213,0.11005593859763237,0.2788110403397026,0.9148051185437107,0.9804208820944141,0.6030517945411564,0.9011127644432944,-0.7527784468224203,-0.6940774842518638,-0.07207207207207178,-0.8012491923325437,0.8871990336462396,-0.7566411891002718,-0.811661338692389,0.44393024975549217,-0.127310717084071,0.05974152645696176,0.3692487147362511,0.4771424718495044,0.37190315315315314,0.4762539641447156,-0.37589105320522304,0.10937500000000032,0.0
-0.6552211389006641,-0.8915350915880158,-0.4001525553012968,-0.28105395232120456,0.05893066215688825,0.30853503184713366,0.9352107851532871,0.9801910802410622,0.6417365140769398,0.9568803778223459,-0.9208615765750268,-0.46437708850509607,-0.33333333333333304,-0.7677794529399096,0.872545407204874,-0.5494866399236258,-0.8368935958311521,0.4621072970587531,0.16805478975013777,0.005608388198000559,0.36397805331144445,0.40695165531656663,0.3519144144144144,0.4864280629085497,-0.3854990693087112,0.18750000000000017,0.0
0.05270594884838231,-0.5580841492458324,-0.7213323162979914,-0.39123274780426603,0.062182906205281635,0.2839065817409765,0.8769787869149274,0.9716079810183669,0.4216634429400389,0.8526881024778419,-0.636513780408079,-0.7274403433606922,-0.07207207207207178,-0.5888434202024553,0.8960818980842206,-0.8423866837845843,-0.864170490175364,0.5023735120822497,0.24170753649264337,0.02609119726895886,0.3471724197520199,0.4376306385274088,0.2131193693693694,0.5207300498349622,-0.4164600850708528,1.6653345369377348e-16,0.0
