Date,Close,Open,High,Low,Volume,Change
1981-05-01,123.6,123.6,123.6,123.6,3330000.0,0.0098
1981-05-02,123.5,123.5,123.5,123.5,2040000.0,-0.0008
1981-05-04,120.6,120.6,120.6,120.6,1930000.0,-0.0235
1981-05-06,120.7,120.7,120.7,120.7,1690000.0,0.0008
1981-05-07,119.3,119.3,119.3,119.3,1480000.0,-0.0116
1981-05-08,118.7,118.7,118.7,118.7,1090000.0,-0.005
1981-05-09,118.8,118.8,118.8,118.8,598000.0,0.0008
1981-05-12,118.8,118.8,118.8,118.8,543000.0,0.0
1981-05-13,119.9,119.9,119.9,119.9,858000.0,0.009300000000000001
1981-05-14,121.5,121.5,121.5,121.5,1180000.0,0.013300000000000001
1981-05-15,121.4,121.4,121.4,121.4,1550000.0,-0.0008
1981-05-16,121.5,121.5,121.5,121.5,570000.0,0.0008
1981-05-18,121.1,121.1,121.1,121.1,906000.0,-0.0033
1981-05-19,120.9,120.9,120.9,120.9,952000.0,-0.0017000000000000001
1981-05-20,121.4,121.4,121.4,121.4,1410000.0,0.0040999999999999995
1981-05-21,121.4,121.4,121.4,121.4,1220000.0,0.0
1981-05-22,120.8,120.8,120.8,120.8,981000.0,-0.0049
1981-05-23,120.5,120.5,120.5,120.5,829000.0,-0.0025
1981-05-25,121.5,121.5,121.5,121.5,1100000.0,0.0083
1981-05-26,123.0,123.0,123.0,123.0,1770000.0,0.0123
1981-05-27,124.8,124.8,124.8,124.8,2250000.0,0.0146
1981-05-28,125.9,125.9,125.9,125.9,2570000.0,0.0088
1981-05-29,126.5,126.5,126.5,126.5,2610000.0,0.0048
1981-05-30,126.3,126.3,126.3,126.3,1290000.0,-0.0016
1981-06-01,126.4,126.4,126.4,126.4,1830000.0,0.0008
1981-06-02,127.7,127.7,127.7,127.7,3100000.0,0.0103
1981-06-03,129.8,129.8,129.8,129.8,3130000.0,0.016399999999999998
1981-06-04,128.7,128.7,128.7,128.7,2620000.0,-0.0085
1981-06-05,128.3,128.3,128.3,128.3,1810000.0,-0.0031
1981-06-08,130.1,130.1,130.1,130.1,1550000.0,0.013999999999999999
1981-06-09,132.7,132.7,132.7,132.7,3000000.0,0.02
1981-06-10,133.6,133.6,133.6,133.6,3210000.0,0.0068000000000000005
