,makeup,travel,flight
2020-03-10 00:00:00,100.0,100.0,100.0
2020-03-11 00:00:00,96.11867715652738,97.67637008573887,94.85506122622262
2020-03-12 00:00:00,92.07609664233725,93.66480700995122,92.9920540066836
2020-03-13 00:00:00,89.71920904131431,89.94055730257334,88.39432353677027
2020-03-16 00:00:00,86.26744792871082,86.98501577874006,88.73297892215615
2020-03-17 00:00:00,87.90495881816241,86.21552121338684,83.0843127331443
2020-03-18 00:00:00,90.42942526408055,80.8513400791956,72.09210865150169
2020-03-19 00:00:00,87.72641913842551,72.27780757030732,60.206729770439495
2020-03-20 00:00:00,89.68723348397144,75.66863231481017,72.96737163422897
2020-03-23 00:00:00,85.37048106422085,69.73603763387672,75.10128463114654
2020-03-24 00:00:00,91.53112841073353,75.76104869479674,64.71031139813321
2020-03-25 00:00:00,92.79327668105975,82.05510667085629,72.08362645187339
2020-03-26 00:00:00,92.09944983469416,83.52942005738872,74.13310884887623
2020-03-27 00:00:00,92.01264876208776,84.77468770253833,85.1714229836385
2020-03-30 00:00:00,91.34677836757379,82.10253933627529,97.57757589946301
2020-03-31 00:00:00,92.54390259346137,83.9919692884831,98.25979399039478
2020-04-01 00:00:00,87.52231219594744,79.67955591631329,103.50006990572977
2020-04-02 00:00:00,91.48671246803323,80.6962324437045,96.93038075806145
2020-04-03 00:00:00,92.33232383937478,79.99462375271197,93.37390643114483
2020-04-06 00:00:00,96.3431637053407,84.5492748714557,94.72456977114526
2020-04-07 00:00:00,97.23487139964347,88.51015662654204,108.14584375104089
2020-04-08 00:00:00,98.18258753559644,88.62769278540445,103.37557491897826
2020-04-09 00:00:00,100.33124599367171,95.31401365255016,108.30046475764064
2020-04-10 00:00:00,98.76771116699737,97.1129684536555,111.06610092487527
2020-04-13 00:00:00,97.77240624345539,94.00820040175688,108.40291681365517
2020-04-14 00:00:00,98.13545430188417,95.40002984108278,108.49151780537505
2020-04-16 00:00:00,97.78183989999624,98.15205381689829,109.1069799866705
2020-04-17 00:00:00,102.23514027042737,100.81778219575692,130.04260523333545
2020-04-20 00:00:00,101.76999139775515,100.45693150856232,107.33836653809936
2020-04-21 00:00:00,102.06183523569025,99.6904314143527,107.07485473768712
2020-04-22 00:00:00,104.1174425678056,100.47183152660469,108.93742111327501
2020-04-23 00:00:00,109.09819206335212,99.71404104014354,111.45708062820955
2020-04-24 00:00:00,107.46099609303792,97.97348805591538,116.7904710601735
2020-04-27 00:00:00,106.05088593860997,100.18014389075694,115.19975505452018
2020-04-28 00:00:00,105.79894414802872,103.71175439704355,113.31424972264064
2020-04-29 00:00:00,106.63320282037098,104.26150510150305,112.5758335876704
2020-05-04 00:00:00,104.64216785304279,101.76358216047208,107.61368548064878
2020-05-06 00:00:00,106.21932017271598,102.63816707459266,106.73015004908943
2020-05-07 00:00:00,107.59378419106528,102.35346976299327,110.17284231286351
2020-05-08 00:00:00,108.89263582403221,103.40971025604406,110.51010989540302
2020-05-11 00:00:00,108.13896183359945,101.28105078247482,113.79431782207014
2020-05-12 00:00:00,106.40513674264945,99.3629718276571,111.60396478865823
2020-05-13 00:00:00,107.81992031649897,97.11219880296068,102.50339984908226
2020-05-14 00:00:00,108.76395199602335,96.37623216152774,102.34169607677748
2020-05-15 00:00:00,108.66253378700239,96.84842849900032,99.69407799307612
2020-05-18 00:00:00,107.19965334812242,97.26534577175316,98.79032020341133
2020-05-19 00:00:00,107.94482333785871,102.38815099156966,103.51188288254845
2020-05-20 00:00:00,107.38929654370773,104.16034166896327,104.96898744785832
2020-05-21 00:00:00,107.3153014445642,103.49510148724409,105.66600582035232
2020-05-22 00:00:00,105.29017746305429,102.2682001744847,105.78406569155842
2020-05-25 00:00:00,104.9941792925635,102.12645872932538,104.0044004274864
2020-05-26 00:00:00,105.10515408916477,103.96238350985092,114.00008151902466
2020-05-27 00:00:00,105.0464770410902,105.72827990348767,114.70218443660445
2020-05-28 00:00:00,104.19496494483012,101.37522878311916,118.28360327542006
2020-05-29 00:00:00,103.63630907788284,100.63908424395065,112.23533111419748
2020-06-01 00:00:00,103.49984572622124,102.26120511853327,115.96355107233552
2020-06-02 00:00:00,104.03458180568579,102.8002000527894,114.83988192730155
2020-06-03 00:00:00,105.50319188951217,104.52633744563151,117.59252098684783
2020-06-04 00:00:00,107.1895559931932,105.7814026687564,119.34997588872646
2020-06-05 00:00:00,107.50234079740974,106.13501318366112,117.25566193934385
2020-06-08 00:00:00,107.28994988221994,105.42173934805406,120.04216536423901
2020-06-09 00:00:00,106.26448043358059,105.08273923530369,119.82187334270522
2020-06-10 00:00:00,105.95304165079378,103.57674022086513,119.29089644070949
2020-06-11 00:00:00,104.55071479646574,101.96266441131392,122.98559570299155
2020-06-12 00:00:00,101.77432620128198,98.88119759048473,115.66864022255349
2020-06-15 00:00:00,96.92634382849496,92.32450075959436,108.21022485328255
2020-06-16 00:00:00,100.09013025268594,96.1872024469058,112.6529169803406
2020-06-17 00:00:00,98.19121123459053,94.26216018325768,109.77558126800511
2020-06-18 00:00:00,97.65049722181817,93.63381941006914,109.54698451603441
2020-06-19 00:00:00,98.75091244535349,93.66841759716603,109.46321921798084
2020-06-22 00:00:00,96.41601801440595,92.17971143604835,108.20807748833083
2020-06-23 00:00:00,98.24910592578651,91.79780144495079,107.59960088692392
2020-06-24 00:00:00,99.49679968038616,91.62024170440996,106.43880015397559
2020-06-25 00:00:00,95.14634690794654,89.53393537065043,103.13612370741734
2020-06-26 00:00:00,99.25915596973938,90.11889731597554,104.75527706717453
