날짜,시가,고가,저가,종가,거래량,거래대금
2020-10-08,340.28,340.47,336.36,338.24,56249177,358652875893
2020-10-12,342.47,346.08,341.47,345.75,90309135,682518109452
2020-10-13,347.62,347.62,342.15,345.94,101061924,667020219397
2020-10-14,345.39,345.39,341.19,341.59,61124243,474179183163
2020-10-15,341.57,342.62,337.5,338.36,60970460,446712432716
2020-10-16,339.88,341.02,334.89,337.88,37706132,328728746536
2020-10-19,340.4,346.5,340.05,344.2,64578717,606050628538
2020-10-20,342.55,344.52,339.64,343.79,56078135,357330960808
2020-10-21,344.13,349.44,343.17,349.44,46428417,394499704399
2020-10-22,347.5,348.93,344.18,348.88,53506301,372214441951
2020-10-23,349.6,350.06,344.64,347.12,35727996,332772516017
2020-10-26,347.62,369.51,347.44,356.92,54236181,1617115996268
2020-10-27,355.8,357.15,348.56,350.94,52304178,932487453265
2020-10-28,348.36,350.71,344.94,350.69,37999140,462621628250
2020-10-29,344.22,345.89,339.67,344.95,49892528,628529260260
2020-10-30,344.88,347.31,338.97,340.07,195430801,684465687690
2020-11-02,341.56,345.75,340.94,345.47,134654702,663954148393
2020-11-03,346.67,349.37,345.77,348.75,94167340,491604998912
2020-11-04,351.07,352.74,347.81,351.26,54317081,395723568996
2020-11-05,351.71,356.06,351.71,356.06,53426339,366133176775
2020-11-06,356.14,356.3,352.27,353.54,77300254,345168482688
2020-11-09,356.06,359.06,355.72,356.95,296108219,521379510212
2020-11-10,363.79,364.33,359.06,364.03,259893287,919352237181
2020-11-11,364.83,376.45,364.12,375.56,165202800,935522453225
2020-11-12,371.99,376.01,370.35,372.83,161113967,1559754815602
2020-11-13,371.77,374.62,369.28,370.23,144344576,1470245053444
2020-11-16,371.55,376.17,370.99,375.3,103691832,675543682130
2020-11-17,376.23,378.52,373.57,375.09,101563276,703193631957
2020-11-18,375.84,377.06,370.4,370.91,102265076,480521889723
2020-11-19,369.39,371.16,366.98,370.42,110886887,681070402384
2020-11-20,369.34,372.7,368.55,371.49,57758513,446127096935
2020-11-23,370.21,374.4,368.24,373.04,97156293,484054169398
2020-11-24,375.14,378.8,373.47,377.43,61302825,592155411464
2020-11-25,379.87,380.6,370.05,373.57,115078097,673496788691
2020-11-26,372.53,373.06,369.1,370.72,48956751,354087731863
2020-11-27,370.69,373.61,369.75,371.58,41285315,366672577159
2020-11-30,374.06,374.25,368.96,369.32,56239134,541828246407
2020-12-01,370.75,372.63,369.86,371.51,51551032,318393809688
2020-12-02,371.39,375.75,370.72,375.63,55887460,552672194227
2020-12-03,375.6,376.06,372.62,375.45,47503003,401232155025
2020-12-04,374.5,377.61,373.22,375.06,77800007,521717895672
2020-12-07,375.11,375.11,368.36,371.78,108046816,450393238785
2020-12-08,371.97,373.0,369.51,371.86,72362121,382644141182
2020-12-09,372.28,376.79,371.77,376.41,92148503,581238474477
2020-12-10,376.27,381.9,372.21,377.83,176034992,656658627342
2020-12-11,379.14,390.83,379.14,390.17,228631742,807016751937
2020-12-14,390.04,392.54,384.68,385.51,148187825,667155452661
2020-12-15,385.46,386.28,381.15,384.17,177704716,550079737539
2020-12-16,384.4,388.25,384.4,385.62,147606043,410525850919
2020-12-17,385.62,386.17,381.3,383.39,67068035,362277327449
2020-12-18,383.52,386.83,382.58,385.45,59274354,357330933018
2020-12-21,385.7,386.25,380.73,383.66,66054033,345783699391
2020-12-22,383.47,393.5,383.2,385.19,112604184,747356479018
2020-12-23,385.41,392.79,385.28,389.73,68900380,728995678926
2020-12-24,389.82,395.31,389.82,394.52,43346309,443235890435
2020-12-28,394.67,396.94,392.01,394.05,97487117,664580846143
2020-12-29,394.06,394.23,388.13,390.38,120371236,764037705428
2020-12-30,390.45,395.83,389.63,394.67,75985943,495345880738
2021-01-04,394.68,401.22,390.72,400.54,85751801,625659341334
2021-01-05,400.12,406.52,397.32,405.32,103610003,666710926912
