,index,return
2016-12-31 00:00:00,100.0,0.0
2017-01-31 00:00:00,99.67693045945232,-0.0032306954054768244
2017-02-28 00:00:00,98.40895491475354,-0.012720852647188918
2017-03-31 00:00:00,100.37623256497683,0.019990839775988256
2017-04-30 00:00:00,102.44294805973972,0.020589689829462632
2017-05-31 00:00:00,107.91296003952885,0.05339569080537676
2017-06-30 00:00:00,110.86281580128056,0.027335509661408297
2017-07-31 00:00:00,111.64547668700722,0.007059724038847692
2017-08-31 00:00:00,112.57558720310949,0.008330928790870828
2017-09-30 00:00:00,106.06664764404556,-0.0578183931416717
2017-10-31 00:00:00,106.26011948171401,0.0018240591360796365
2017-11-30 00:00:00,107.36900111615861,0.010435539126562254
2017-12-31 00:00:00,105.04055632535068,-0.021686378438865006
2018-01-31 00:00:00,113.25057557364309,0.07816046996993098
2018-02-28 00:00:00,106.27651472726039,-0.061580798252523605
2018-03-31 00:00:00,108.95758336020145,0.025227291653490358
2018-04-30 00:00:00,108.34841294829714,-0.005590895035644028
2018-05-31 00:00:00,109.34987815219183,0.00924300759599106
2018-06-30 00:00:00,106.61559857901442,-0.02500487078158309
2018-07-31 00:00:00,108.65282590170821,0.019108154433743252
2018-08-31 00:00:00,110.03065216890096,0.012680997992994492
2018-09-30 00:00:00,109.00939906620354,-0.009281532759887301
2018-10-31 00:00:00,97.25196785999756,-0.10785704083246495
2018-11-30 00:00:00,99.69697276189274,0.02514092985156835
2018-12-31 00:00:00,96.86385123954769,-0.028417327466014664
2019-01-31 00:00:00,102.25264804362159,0.05563269202199295
2019-02-28 00:00:00,104.76822025209157,0.02460153606385651
2019-03-31 00:00:00,98.28497748218675,-0.061881768672837456
2019-04-30 00:00:00,106.20432455757162,0.0805753562574727
2019-05-31 00:00:00,99.27027973565438,-0.0652896654708105
2019-06-30 00:00:00,101.53201690417433,0.022783628438871162
2019-07-31 00:00:00,98.79558185734047,-0.026951449702969033
2019-08-31 00:00:00,96.7549325727555,-0.020655268648871794
2019-09-30 00:00:00,101.25307022956332,0.0464900086972353
2019-10-31 00:00:00,99.67982711285433,-0.015537732467194365
2019-11-30 00:00:00,97.14917389411063,-0.025387817094411402
2019-12-31 00:00:00,100.57041836701038,0.03521640314336372
2020-01-31 00:00:00,100.43145641012781,-0.001381737882161893
2020-02-29 00:00:00,93.6969903196321,-0.0670553463149478
2020-03-31 00:00:00,80.78561901080712,-0.1377992106766709
2020-04-30 00:00:00,89.89883293652483,0.11280737880461844
2020-05-31 00:00:00,96.98586767059838,0.07883344535826753
2020-06-30 00:00:00,99.64195059674663,0.027386288228810063
2020-07-31 00:00:00,107.48065776055302,0.07866874460868223
2020-08-31 00:00:00,112.73585816551368,0.04889438262155288
2020-09-30 00:00:00,125.77988096961916,0.11570429334874843
2020-10-31 00:00:00,122.98425785600328,-0.022226313875198578
2020-11-30 00:00:00,141.52294380064205,0.15074031642606545
2020-12-31 00:00:00,152.83440238887783,0.07992667679503462
2021-01-31 00:00:00,160.1369808933197,0.04778098641600925
2021-02-28 00:00:00,160.57335259946578,0.002724990215950074
2021-03-31 00:00:00,169.0054733579819,0.05251257834510814
2021-04-30 00:00:00,182.6156930821266,0.08053123637786541
2021-05-31 00:00:00,191.15967666785795,0.04678668870965508
2021-06-30 00:00:00,204.97167042743598,0.07225369910818857
2021-07-31 00:00:00,213.50046188633854,0.04160961093363347
2021-08-31 00:00:00,217.8408119634506,0.02032946457709639
2021-09-30 00:00:00,251.72936206253956,0.1555656618869692
2021-10-31 00:00:00,248.97169592351136,-0.010954884708058388
2021-11-30 00:00:00,240.29872787920695,-0.034835156711825244
2021-12-31 00:00:00,253.00106749683152,0.05286061948696519
2022-01-31 00:00:00,236.95117270829425,-0.06343805165461713
2022-02-28 00:00:00,256.91010703318995,0.08423226649089743
2022-03-31 00:00:00,256.4719778716692,-0.001705379233928439
2022-04-30 00:00:00,273.4031420861214,0.0660156495651314
2022-05-31 00:00:00,279.0939747172738,0.020814803325704956
