,index,return
2016-12-31 00:00:00,100.0,0.0
2017-01-31 00:00:00,105.72209135305586,0.05722091353055858
2017-02-28 00:00:00,103.5305234833881,-0.020729516807883486
2017-03-31 00:00:00,109.71592859581291,0.05974474873989499
2017-04-30 00:00:00,109.6554184107551,-0.0005515168657116432
2017-05-31 00:00:00,118.73524468833565,0.08280326142725292
2017-06-30 00:00:00,127.26781301505842,0.07186213621001603
2017-07-31 00:00:00,124.14546192346707,-0.024533705872842426
2017-08-31 00:00:00,126.36639241632419,0.01788974368008933
2017-09-30 00:00:00,135.86641398999123,0.0751783871645908
2017-10-31 00:00:00,142.70946633765976,0.05036603341994916
2017-11-30 00:00:00,134.89443808091747,-0.0547618070286342
2017-12-31 00:00:00,136.8110688051966,0.014208374722829209
2018-01-31 00:00:00,136.3613675917493,-0.0032870236112811924
2018-02-28 00:00:00,131.88452488653664,-0.03283072606470072
2018-03-31 00:00:00,135.83663869345816,0.02996647112556694
2018-04-30 00:00:00,135.7392340516902,-0.0007170719380634738
2018-05-31 00:00:00,141.68545894571375,0.04380623579884935
2018-06-30 00:00:00,139.86014352880656,-0.012882870482895159
2018-07-31 00:00:00,140.16041194077303,0.00214691908924447
2018-08-31 00:00:00,139.92970297744452,-0.0016460351402648454
2018-09-30 00:00:00,133.39695661883485,-0.04668591599642502
2018-10-31 00:00:00,116.84897588166636,-0.12405066169876933
2018-11-30 00:00:00,119.9324581061639,0.026388611463914025
2018-12-31 00:00:00,113.84768341123228,-0.05073501194768637
2019-01-31 00:00:00,129.93054720951434,0.1412665002606044
2019-02-28 00:00:00,127.84095039832482,-0.016082413689984865
2019-03-31 00:00:00,126.87816510958345,-0.007531118047398255
2019-04-30 00:00:00,136.2485736998696,0.07385359476307873
2019-05-31 00:00:00,119.35996251143636,-0.12395440722657203
2019-06-30 00:00:00,127.22067455997474,0.06585719267283796
2019-07-31 00:00:00,137.98686648385464,0.08462611883734716
2019-08-31 00:00:00,140.4614082845491,0.017933169030865725
2019-09-30 00:00:00,145.19871572251344,0.033726754528670355
2019-10-31 00:00:00,145.5371469227418,0.002330814005787385
2019-11-30 00:00:00,146.72212588904137,0.008142106612331723
2019-12-31 00:00:00,161.9178228288997,0.10356786236419491
2020-01-31 00:00:00,161.7512656185975,-0.0010286527288486669
2020-02-29 00:00:00,154.82418673088964,-0.042825500383048776
2020-03-31 00:00:00,140.18163320686614,-0.0945753621136387
2020-04-30 00:00:00,152.3818671251844,0.08703161490717104
2020-05-31 00:00:00,164.81225823364034,0.08157395196007244
2020-06-30 00:00:00,175.14512292810383,0.06269475829774418
2020-07-31 00:00:00,186.75155631577124,0.06626752257573165
2020-08-31 00:00:00,191.00596490863018,0.022781114528787727
2020-09-30 00:00:00,193.19064100777481,0.011437737560655359
2020-10-31 00:00:00,189.6087153181276,-0.01854088619905281
2020-11-30 00:00:00,213.18499345093647,0.12434174290592259
2020-12-31 00:00:00,244.19886591701948,0.14547868479879988
2021-01-31 00:00:00,275.9035899283592,0.12983157760492325
2021-02-28 00:00:00,290.94487925875455,0.05451646835875135
2021-03-31 00:00:00,286.12927976608506,-0.016551587039229876
2021-04-30 00:00:00,277.20964618118666,-0.0311734387763124
2021-05-31 00:00:00,278.6016205027927,0.005021377649665926
2021-06-30 00:00:00,299.057326615419,0.07342278223547272
2021-07-31 00:00:00,291.2088542391783,-0.026244039780151107
2021-08-31 00:00:00,291.85940543857953,0.002233967786112956
2021-09-30 00:00:00,274.59242233146324,-0.05916198959279406
2021-10-31 00:00:00,282.2538082907836,0.027900937302895334
2021-11-30 00:00:00,282.4231766703174,0.0006000570215842771
2021-12-31 00:00:00,296.6185079289976,0.050262628676721155
2022-01-31 00:00:00,265.72025557532754,-0.10416832236600104
2022-02-28 00:00:00,263.0908648146176,-0.009895334305685122
2022-03-31 00:00:00,268.1534046306957,0.019242552642963817
2022-04-30 00:00:00,257.8744190651182,-0.03833248203480333
2022-05-31 00:00:00,255.66568087916934,-0.008565169798370409
