티커,VS,GS,GS_Rank,VS_Rank,Rank,시가총액,cap_ratio,cum_cap,group
090430,-1.086284456044715,-0.9275745541664063,569.0,570.0,0.9982456140350877,9124870404000,0.005432981725841213,0.6744657802832273,value
068290,-0.9788105409889419,-0.7380086439576847,548.0,547.0,1.0018281535648994,277000000000,0.0001649268287030475,0.6746307071119304,value
018260,-0.7861384420441186,-0.45953313158978326,487.0,484.0,1.006198347107438,11219781000000,0.006680299274630712,0.6813110063865612,value
018880,-0.933122151213865,-0.6726025505601084,539.0,535.0,1.0074766355140188,5818420000000,0.0034643088760374936,0.6847753152625987,value
271560,-0.7409435685795859,-0.3493800990963804,467.0,463.0,1.0086393088552916,3724303634400,0.0022174642149777116,0.6869927794775764,value
042700,-0.9346119885732969,-0.6913882849262354,543.0,536.0,1.0130597014925373,1488742297700,0.00088640269283664,0.6878791821704131,value
023810,-0.6569061547731183,-0.294875545392814,449.0,443.0,1.0135440180586908,95100000000,5.662289317566722e-05,0.6879358050635888,value
051910,-0.6561391518831488,-0.28986596379199736,447.0,441.0,1.0136054421768708,36143279616000,0.021519842909727006,0.7094556479733157,value
009070,-0.1796941857495351,0.05285532718792235,315.0,310.0,1.0161290322580645,184200000000,0.00010967336406895794,0.7095653213373847,value
036570,-1.0039907241815502,-0.8770888667821888,565.0,554.0,1.01985559566787,9560976581000,0.0056926409632073495,0.715257962300592,value
009240,-0.8891630813410738,-0.6236362614639543,531.0,520.0,1.021153846153846,1623841032000,0.0009668409809590032,0.716224803281551,value
000020,-0.560354600241035,-0.23507164688521676,419.0,410.0,1.0219512195121951,335177640000,0.00019956601161506037,0.7164243692931661,value
010420,-0.36435799479837533,-0.12577254932044984,377.0,367.0,1.0272479564032697,41498349300,2.4708271286860402e-05,0.716449077564453,value
185750,-0.9189815838557818,-0.7161880852236093,546.0,531.0,1.0282485875706215,1071730597200,0.0006381123776903221,0.7170871899421433,value
001790,-0.508624398919503,-0.21208148313575048,411.0,399.0,1.0300751879699248,404980058700,0.00024112663093633585,0.7173283165730796,value
002240,1.0824145012095574,1.055561666369176,93.0,90.0,1.0333333333333334,608350000000,0.00036221384924728866,0.7176905304223269,value
051600,-0.7326408265805688,-0.4130166076805704,477.0,459.0,1.0392156862745099,1629000000000,0.0009699126496652144,0.7186604430719921,value
317400,-0.3022252711253139,-0.0899969277704158,367.0,352.0,1.0426136363636365,336244448400,0.00020020119329825813,0.7188606442652903,value
214320,-0.6478625785723988,-0.31325056589932915,455.0,435.0,1.0459770114942528,1026000000000,0.0006108842102863782,0.7194715284755767,value
161890,-0.7998867495972612,-0.5685448510407669,515.0,490.0,1.0510204081632653,906094728000,0.0005394921660418427,0.7200110206416186,value
077970,-0.9010801003843854,-0.7707471635091754,553.0,526.0,1.0513307984790874,287611300000,0.00017124483613054444,0.7201822654777491,value
011760,0.2690903126895997,0.4218601588963949,219.0,208.0,1.0528846153846154,257303388700,0.00015319939318714278,0.7203354648709362,value
064960,0.02210698270466958,0.2055237663165696,276.0,262.0,1.0534351145038168,651460708800,0.00038788212536831597,0.7207233469963046,value
308170,-0.976085508301081,-0.9784765754606068,576.0,544.0,1.0588235294117647,142065000000,8.458602859096912e-05,0.7208079330248955,value
012510,-0.9669054984852483,-0.9637350092653845,574.0,540.0,1.0629629629629629,1151507513600,0.000685611849984763,0.7214935448748803,value
007540,-0.14602465373489706,0.047237811593814905,318.0,299.0,1.0635451505016722,171972840000,0.00010239326759659421,0.7215959381424769,value
134380,-0.5404834507530503,-0.27057766936256616,432.0,406.0,1.064039408866995,152849126000,9.100693726069504e-05,0.7216869450797376,value
009830,-0.10588817568890396,0.07895267179000187,306.0,287.0,1.0662020905923344,5958325181550,0.0035476089407023514,0.72523455402044,value
020120,-0.9039198302172732,-0.874043000226629,564.0,528.0,1.0681818181818181,296106610560,0.00017630297558725313,0.7254108569960273,value
034310,-0.21095194563196307,-0.010408623312111634,342.0,319.0,1.0721003134796239,600434455000,0.00035750090435809635,0.7257683579003853,value
069730,-0.053851645430031875,0.0992907483446481,302.0,277.0,1.0902527075812274,91872000000,5.470092998774867e-05,0.725823058830373,value
001290,0.06840324259681829,0.2318708421954238,269.0,246.0,1.0934959349593496,119712517600,7.127727755893776e-05,0.725894336107932,value
004830,-0.8068829537516895,-0.6831999997199315,540.0,492.0,1.0975609756097562,123088000000,7.328705231552603e-05,0.7259676231602475,value
010780,-0.5811433110153255,-0.32050673106076877,457.0,416.0,1.0985576923076923,1478211197100,0.0008801324364297419,0.7268477555966772,value
129260,0.41226607784251246,0.49386439776465296,200.0,182.0,1.098901098901099,108877218840,6.482590043786605e-05,0.7269125814971151,value
006280,-0.7763902604048584,-0.5999276468938807,527.0,477.0,1.1048218029350105,2115263378000,0.001259435670777024,0.7281720171678921,value
293480,-0.5740676951461599,-0.32338034357547596,458.0,414.0,1.106280193236715,348349741600,0.00020740872982532153,0.7283794258977174,value
025750,-0.5184665062706666,-0.2881950362134116,444.0,400.0,1.11,130918367125,7.794928198161575e-05,0.728457375179699,value
013890,-0.8565571188723164,-0.9538668944582753,573.0,512.0,1.119140625,962247405000,0.000572925678463491,0.7290303008581624,value
000140,0.12996738823592566,0.24922996126698593,263.0,235.0,1.1191489361702127,314451665750,0.0001872256895759502,0.7292175265477384,value
006390,-0.7009276956142123,-0.5469894925946066,509.0,454.0,1.1211453744493391,537679683750,0.00032013648050160655,0.72953766302824,value
092780,-0.1831714984991137,-0.02519322108784855,349.0,311.0,1.1221864951768488,81907821200,4.8768220925964776e-05,0.7295864312491659,value
111110,0.05438296625252048,0.1954656696505927,281.0,248.0,1.1330645161290323,100912334400,6.008357866286444e-05,0.7296465148278287,value
234080,-0.780732999188509,-0.7342954178921208,547.0,482.0,1.1348547717842323,220100300600,0.00013104853637020024,0.729777563364199,value
006040,0.6126304459103177,0.590448303441965,176.0,154.0,1.1428571428571428,888150301500,0.0005288079878629982,0.730306371352062,value
155660,0.04219524474964177,0.14864095673580974,291.0,254.0,1.1456692913385826,110560000000,6.582783458992395e-05,0.730372199186652,value
000120,-0.5830038365164458,-0.4254953344037051,480.0,418.0,1.1483253588516746,3022635580000,0.0017996884495826595,0.7321718876362346,value
015020,-0.8659264521434662,-1.5911896707905964,592.0,515.0,1.149514563106796,70705140000,4.20981029357581e-05,0.7322139857391704,value
031440,-0.7468865633155639,-0.6430189100883121,535.0,465.0,1.1505376344086022,262166896000,0.00015609514349531288,0.7323700808826658,value
010120,-0.5228991366151171,-0.3437484579101343,464.0,402.0,1.154228855721393,1443000000000,0.0008591675589115435,0.7332292484415773,value
007310,-0.4233927068237295,-0.27882925222040195,438.0,378.0,1.1587301587301588,1626687583000,0.0009685358279957234,0.734197784269573,value
001130,1.8174115938581954,1.4328283501528372,34.0,29.0,1.1724137931034482,296595000000,0.00017659376447357538,0.7343743780340466,value
018250,-0.8176119256021593,-1.0443061240248301,581.0,495.0,1.1737373737373737,456891875500,0.0002720351194454968,0.7346464131534921,value
