,code
738,000760
739,014910
740,003535
741,001210
742,018500
743,003465
744,006125
745,003475
746,002420
747,009140
748,088790
749,025890
750,084870
751,001420
752,010420
753,204210
754,003495
755,001770
756,001465
757,012600
758,009835
759,033250
760,003925
761,011230
762,071950
763,005257
764,004255
765,007815
766,140910
767,011300
768,145210
769,108675
770,001795
771,096300
772,010145
773,004365
774,001685
775,000087
776,019490
777,008500
778,000225
779,002355
780,18064K
781,002025
782,030790
783,000075
784,000885
785,016385
786,009415
787,145995
788,001515
789,004835
790,005725
791,004985
792,007575
793,000995
794,084695
795,012205
796,014825
797,001755
798,090355
799,003075
800,002995
801,008355
802,005745
803,004415
804,001745
805,014285
806,004105
807,004545
808,006345
809,00781K
810,004565
811,000145
812,005965
813,001067
814,001065
815,011155
816,000545
817,000325
818,000227
819,014915
820,002785
821,001527
822,001525
823,002787
824,000547
825,001529
826,009275
